height,siblings,exercise_hrs,online_hrs,sleep_hrs,haircut_spend,type_of_person,homeopathy_works,lied_about_age,marijuana,handedness,success_forces_outside_control,work_hard_to_succeed,children_vs_parents,woman_top_position,relaxed_stressful,anxiety_about_analytics,motivated_course_grade,facebook_friends,gender
171,3,2,20,7,41,3,1,0,1,1,Disagree,10,Better off,Having children early on in her career,3,3,5,1247,Female
178,2,6,80,7,0,1,1,0,1,1,Disagree,5,Worse off,Having children later in her career,2,1,1,600,Male
183,2,8,35,7,8,2,1,0,1,1,Disagree,10,Better off,Having children later in her career,3,4,3,700,Male
165,1,2,7,8,10,2,1,0,1,1,Disagree,9,Better off,Not having children at all,3,3,5,1094,Female
184,2,2,50,5,15,4,1,0,1,0.6,Disagree,10,Worse off,Having children early on in her career,5,4,5,1000,Male
179,3,7,60,8,30,1,1,0,1,1,Disagree,7,Worse off,Having children later in her career,5,3,5,800,Male
176,0,2,30,7.5,4,3,1,0,1,0.6,Disagree,8,Better off,Having children early on in her career,4,4,3,300,Male
171,2,0,25,6,10,2,1,0,1,0.5,Disagree,8,Better off,Having children later in her career,2,2,3,30,Female
192,1,6,35,6,29,2,1,0,1,0.8,Disagree,10,Worse off,Not having children at all,3,2,5,1126,Male
174,2,3,35,6,15,4,1,0,1,-1,Disagree,10,Better off,Having children later in her career,3,4,5,2200,Male
177,3,3,20,7,8,3,1,0,1,1,Disagree,8,Worse off,Having children early on in her career,2,4,4,1100,Male
151,3,0,40,7,54,2,1,0,1,0.3,Disagree,7,Better off,NA,5,5,5,500,Female
167,2,1,10,6,2,2,1,0,1,0.75,Disagree,4,Better off,Not having children at all,4,2,4,720,Male
174,2,7,75,5,50,4,1,0,1,0.125,Disagree,9,Better off,Not having children at all,3,4,5,0,Female
14.732,2,7,15,8,12.53,1,1,0,1,1,Disagree,7,Better off,Having children later in her career,4,4,5,1200,Female
173,3,12,20,7,30,3,1,0,1,0.9,Agree,8,Worse off,Having children later in her career,3,4,4,850,Female
190,3,4,30,7,25,2,1,0,1,0.9,Disagree,10,Better off,Having children later in her career,3,2,5,400,Male
178,4,3,35,7,50,2,0,1,1,0.7894739999999999,Disagree,9,Worse off,Having children later in her career,5,1,5,1077,Male
170,2,3,15,8,20,2,0,1,1,0.9,Disagree,4,Better off,Not having children at all,3,4,2,1100,Male
175,2,3,30,7,0,1,0,1,1,1,Disagree,10,Better off,Having children later in her career,3,4,3,1200,Male
183,3,2,40,8,17,4,0,1,1,1,Agree,8,Worse off,Not having children at all,4,4,3,1000,Male
186,2,3,15,7,30,1,0,1,1,1,Agree,10,Worse off,Not having children at all,4,4,4,0,Male
187,3,3,20,7,25,2,0,1,1,0.9,Disagree,8,Better off,Not having children at all,3,3,3,1100,Male
180,4,2,5,7,20,3,0,1,1,0.2,Disagree,10,Better off,Having children later in her career,2,2,4,700,Male
181,2,4,15,6,30,2,0,1,1,-1,Disagree,10,Worse off,Not having children at all,2,1,5,1358,Male
180,2,3,21,7,30,3,0,1,1,0.5700000000000001,Disagree,9,Better off,Not having children at all,4,2,3,417,Male
188,2,4,40,6,30,2,0,1,1,1,Disagree,8,Worse off,Having children later in her career,5,3,2,500,Male
184,1,8,20,7,13,3,0,1,1,0.96,Agree,8,Worse off,Not having children at all,4,2,5,973,Male
162,2,0,14,6,35,2,0,1,1,0.8600000000000001,Agree,9,Better off,Not having children at all,4,3,4,750,Female
180,3,0,35,8,22,1,0,1,1,0.75,Disagree,8,Better off,Having children later in her career,5,5,3,0,Female
176,3,4,40,7,20,2,0,1,1,1,Disagree,7,Better off,Not having children at all,3,2,4,950,Male
173,2,4,15,6.5,50,1,0,1,1,0.8,Disagree,8,Worse off,Having children later in her career,4,3,4,1205,Female
185,2,6,40,8,13,3,0,1,1,-1,Disagree,7,Better off,Not having children at all,3,4,3,727,Male
174,2,12,8,9,45,4,0,1,1,0.37,Disagree,10,Better off,Having children early on in her career,2,2,4,1338,Male
189,3,2,4,7,25,2,0,1,1,0.9,Disagree,8,Better off,Having children later in her career,3,1,5,537,Male
158,2,4,7,8,130,4,0,1,1,1,Disagree,10,Better off,Having children later in her career,4,4,4,759,Female
183,2,2,60,7,23.22,3,0,1,1,1,Disagree,8,Worse off,Having children later in her career,4,5,4,1261,Male
183,3,7,30,6,18,2,0,1,1,1,Disagree,7,Better off,Not having children at all,3,4,3,500,Male
166,1,0,35,5,175,2,0,1,1,0.7,Disagree,9,Worse off,Not having children at all,4,3,5,1160,Female
183,3,4,15,7.5,15,2,0,1,1,1,Disagree,8,Better off,Not having children at all,3,2,3,1100,Male
166,1,6,60,8,50,2,0,1,1,0.8,Disagree,8,Better off,Not having children at all,5,5,3,342,Female
165,3,4,30,6,10,3,0,1,1,0.4,Disagree,7,Worse off,Not having children at all,4,5,4,120,Female
184,3,6,20,8,26,3,0,1,1,0,Agree,8,Better off,Not having children at all,3,3,4,700,Male
182,2,3,22,7,15,3,0,1,1,0.71,Agree,8,Better off,Not having children at all,3,2,5,665,Male
160,3,5,40,7,5,2,0,1,1,1,Disagree,8,Better off,Having children later in her career,3,4,5,2000,Female
191,3,6,40,7,35,2,0,1,1,0.46,Disagree,7,Worse off,Having children early on in her career,4,3,4,400,Male
